"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"89",8,"Travis Etienne Jr.",JAC,"RB30","8","2 out of 5 stars","+4"
"90",8,"Justin Fields",NYJ,"QB12","9","5 out of 5 stars","+18"
"91",8,"Khalil Shakir",BUF,"WR40","7","3 out of 5 stars","+5"
"92",8,"Jordan Addison",MIN,"WR41","6","2 out of 5 stars","-1"
"93",8,"Zach Charbonnet",SEA,"RB31","8","3 out of 5 stars","+17"
"94",8,"Deebo Samuel Sr.",WAS,"WR42","12","3 out of 5 stars","-15"
"95",8,"Jauan Jennings",SF,"WR43","14","4 out of 5 stars","+8"
"96",8,"Josh Downs",IND,"WR44","11","4 out of 5 stars","+26"
"97",8,"Michael Pittman Jr.",IND,"WR45","11","4 out of 5 stars","+15"
"98",8,"Justin Herbert",LAC,"QB13","12","3 out of 5 stars","+11"
"99",8,"Caleb Williams",CHI,"QB14","5","2 out of 5 stars","+20"
"100",8,"Javonte Williams",DAL,"RB32","10","2 out of 5 stars","+7"
"101",8,"Drake Maye",NE,"QB15","14","5 out of 5 stars","+24"
"102",8,"Jordan Mason",MIN,"RB33","6","3 out of 5 stars","-3"
"103",8,"Tyler Warren",IND,"TE10","11","3 out of 5 stars","-14"
"104",8,"Jared Goff",DET,"QB16","8","2 out of 5 stars","-6"
"105",8,"Matthew Golden",GB,"WR46","5","2 out of 5 stars","-13"
"106",8,"Cooper Kupp",SEA,"WR47","8","3 out of 5 stars","-19"
"107",8,"Tucker Kraft",GB,"TE11","5","2 out of 5 stars","-1"
"108",8,"Chris Godwin Jr.",TB,"WR48","9","3 out of 5 stars","-13"
"109",8,"Jayden Reed",GB,"WR49","5","2 out of 5 stars","+8"
"110",8,"Jordan Love",GB,"QB17","5","2 out of 5 stars","+26"
"111",8,"Jake Ferguson",DAL,"TE12","10","2 out of 5 stars","+21"
"112",8,"Trevor Lawrence",JAC,"QB18","8","3 out of 5 stars","+43"
"113",8,"J.K. Dobbins",DEN,"RB34","12","2 out of 5 stars","-9"
"114",8,"Jacory Croskey-Merritt",WAS,"RB35","12","2 out of 5 stars","-9"
"115",8,"C.J. Stroud",HOU,"QB19","6","3 out of 5 stars","+11"
"116",8,"Austin Ekeler",WAS,"RB36","12","2 out of 5 stars","+2"
"117",8,"Rhamondre Stevenson",NE,"RB37","14","4 out of 5 stars","-4"
"118",8,"J.J. McCarthy",MIN,"QB20","6","2 out of 5 stars","+22"
"119",9,"Dalton Kincaid",BUF,"TE13","7","3 out of 5 stars","+4"
"120",9,"Darnell Mooney",ATL,"WR50","5","3 out of 5 stars","+13"
"121",9,"Tank Bigsby",JAC,"RB38","8","2 out of 5 stars","+7"
"122",9,"Cam Skattebo",NYG,"RB39","14","3 out of 5 stars","-22"
"123",9,"Keon Coleman",BUF,"WR51","7","3 out of 5 stars","-7"
"124",9,"Dallas Goedert",PHI,"TE14","9","3 out of 5 stars","+14"
"125",9,"Colston Loveland",CHI,"TE15","5","4 out of 5 stars","-10"
"126",9,"Christian Kirk",HOU,"WR52","6","4 out of 5 stars","+25"
"127",9,"Rashid Shaheed",NO,"WR53","11","4 out of 5 stars","+16"
"128",9,"Rachaad White",TB,"RB40","9","3 out of 5 stars","+11"
"129",9,"Tua Tagovailoa",MIA,"QB21","12","5 out of 5 stars","+40"
"130",9,"Brandon Aiyuk",SF,"WR54","14","4 out of 5 stars","+12"
"131",9,"Braelon Allen",NYJ,"RB41","9","5 out of 5 stars","+14"
"132",9,"Bryce Young",CAR,"QB22","14","3 out of 5 stars","+45"
"133",9,"Najee Harris",LAC,"RB42","12","2 out of 5 stars","-2"
"134",9,"Joe Mixon",HOU,"RB43","6","2 out of 5 stars","-52"
"135",9,"Tyjae Spears",TEN,"RB44","10","2 out of 5 stars","+14"
"136",9,"Michael Penix Jr.",ATL,"QB23","5","4 out of 5 stars","+40"
"137",9,"Quinshon Judkins",CLE,"RB45","9","4 out of 5 stars","-26"
"138",9,"Luther Burden III",CHI,"WR55","5","2 out of 5 stars","+26"
"139",9,"Trey Benson",ARI,"RB46","8","3 out of 5 stars","+17"
"140",9,"Cedric Tillman",CLE,"WR56","9","2 out of 5 stars","+52"
"141",9,"Kyle Pitts Sr.",ATL,"TE16","5","3 out of 5 stars","-11"
"142",9,"Hunter Henry",NE,"TE17","14","3 out of 5 stars","+16"
"143",9,"Brian Robinson Jr.",SF,"RB47","14","3 out of 5 stars","-23"
"144",9,"Marvin Mims Jr.",DEN,"WR57","12","3 out of 5 stars","+6"
"145",9,"Rashod Bateman",BAL,"WR58","7","3 out of 5 stars","+21"
"146",9,"Ray Davis",BUF,"RB48","7","4 out of 5 stars","+22"
"147",9,"Matthew Stafford",LAR,"QB24","8","3 out of 5 stars","+32"
"148",9,"Jaydon Blue",DAL,"RB49","10","2 out of 5 stars","-11"
"149",9,"Geno Smith",LV,"QB25","8","3 out of 5 stars","+38"
"150",9,"Jerome Ford",CLE,"RB50","9","4 out of 5 stars","+9"
"151",9,"Jayden Higgins",HOU,"WR59","6","4 out of 5 stars","-5"
"152",9,"Bhayshul Tuten",JAC,"RB51","8","2 out of 5 stars","0"
"153",9,"Tyler Allgeier",ATL,"RB52","5","4 out of 5 stars","+9"
"154",9,"Wan'Dale Robinson",NYG,"WR60","14","2 out of 5 stars","+27"
"155",9,"Dylan Sampson",CLE,"RB53","9","4 out of 5 stars","+49"
"156",10,"Zach Ertz",WAS,"TE18","12","3 out of 5 stars","-2"
"157",10,"Nick Chubb",HOU,"RB54","6","2 out of 5 stars","-16"
"158",10,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","-56"
"159",10,"Marquise Brown",KC,"WR61","10","3 out of 5 stars","+1"
"160",10,"Keenan Allen",LAC,"WR62","12","3 out of 5 stars","-7"
"161",10,"Jonnu Smith",PIT,"TE19","5","3 out of 5 stars","-13"
"162",10,"Romeo Doubs",GB,"WR63","5","2 out of 5 stars","+50"
"163",10,"Adam Thielen",MIN,"WR64","6","2 out of 5 stars","+10"
"164",10,"DeMario Douglas",NE,"WR65","14","3 out of 5 stars","+49"
"165",10,"Cam Ward",TEN,"QB26","10","2 out of 5 stars","+7"
"166",10,"Sam Darnold",SEA,"QB27","8","4 out of 5 stars","+44"
"167",10,"Philadelphia Eagles",PHI,"DST2","9","2 out of 5 stars","-53"
"168",10,"Rico Dowdle",CAR,"RB55","14","3 out of 5 stars","+37"
"169",10,"Kyle Williams",NE,"WR66","14","3 out of 5 stars","+55"
"170",10,"Tre' Harris",LAC,"WR67","12","3 out of 5 stars","+48"
"171",10,"Brenton Strange",JAC,"TE20","8","3 out of 5 stars","+20"
"172",10,"Joshua Palmer",BUF,"WR68","7","3 out of 5 stars","+57"
"173",10,"Pittsburgh Steelers",PIT,"DST3","5","3 out of 5 stars","-46"
"174",10,"Xavier Legette",CAR,"WR69","14","4 out of 5 stars","+1"
"175",10,"Baltimore Ravens",BAL,"DST4","7","3 out of 5 stars","-54"
"176",10,"Minnesota Vikings",MIN,"DST5","6","2 out of 5 stars","-32"
"177",10,"Quentin Johnston",LAC,"WR70","12","3 out of 5 stars","+60"
"178",10,"Houston Texans",HOU,"DST6","6","2 out of 5 stars","-43"
"179",10,"Chig Okonkwo",TEN,"TE21","10","3 out of 5 stars","+52"
"180",10,"Jalen Coker",CAR,"WR71","14","4 out of 5 stars","+112"
"181",10,"Buffalo Bills",BUF,"DST7","7","5 out of 5 stars","-47"
"182",10,"Isaac Guerendo",SF,"RB56","14","3 out of 5 stars","-2"
"183",10,"Brandon Aubrey",DAL,"K1","10","4 out of 5 stars","-82"
"184",10,"Kansas City Chiefs",KC,"DST8","10","1 out of 5 stars","-13"
"185",10,"Detroit Lions",DET,"DST9","8","1 out of 5 stars","-20"
"186",10,"Jaylen Wright",MIA,"RB57","12","4 out of 5 stars","+4"
"187",11,"Roschon Johnson",CHI,"RB58","5","3 out of 5 stars","+35"
"188",11,"Jake Bates",DET,"K2","8","1 out of 5 stars","-64"
"189",11,"Cameron Dicker",LAC,"K3","12","5 out of 5 stars","-60"
"190",11,"Blake Corum",LAR,"RB59","8","3 out of 5 stars","+48"
"191",11,"DeAndre Hopkins",BAL,"WR72","7","3 out of 5 stars","+37"
"192",11,"Woody Marks",HOU,"RB60","6","2 out of 5 stars","+58"
"193",11,"Ollie Gordon II",MIA,"RB61","12","4 out of 5 stars","-5"
"194",11,"Seattle Seahawks",SEA,"DST10","8","3 out of 5 stars","-8"
"195",11,"Cade Otton",TB,"TE22","9","3 out of 5 stars","+13"
"196",11,"Mike Gesicki",CIN,"TE23","10","2 out of 5 stars","+38"
"197",11,"Los Angeles Rams",LAR,"DST11","8","3 out of 5 stars","+3"
"198",11,"Aaron Rodgers",PIT,"QB28","5","4 out of 5 stars","+13"
"199",11,"Wil Lutz",DEN,"K4","12","5 out of 5 stars","-14"
"200",11,"Pat Freiermuth",PIT,"TE24","5","3 out of 5 stars","+9"
"201",11,"Ka'imi Fairbairn",HOU,"K5","6","3 out of 5 stars","-38"
"202",11,"Chase McLaughlin",TB,"K6","9","3 out of 5 stars","-55"
"203",11,"Los Angeles Chargers",LAC,"DST12","12","5 out of 5 stars","-7"
"204",11,"Green Bay Packers",GB,"DST13","5","2 out of 5 stars","-15"
"205",11,"Chris Boswell",PIT,"K7","5","1 out of 5 stars","-48"
"206",11,"Michael Wilson",ARI,"WR73","8","4 out of 5 stars","+93"
"207",11,"Mason Taylor",NYJ,"TE25","9","3 out of 5 stars","+34"
"208",11,"Isaiah Likely",BAL,"TE26","7","3 out of 5 stars","-26"
"209",11,"Harrison Butker",KC,"K8","10","3 out of 5 stars","-39"
"210",11,"Alec Pierce",IND,"WR74","11","4 out of 5 stars","+34"
"211",11,"Will Shipley",PHI,"RB62","9","3 out of 5 stars","-9"
"212",11,"Jack Bech",LV,"WR75","8","4 out of 5 stars","+20"
"213",11,"Evan McPherson",CIN,"K9","10","1 out of 5 stars","-18"
"214",11,"Tyler Bass",BUF,"K10","7","2 out of 5 stars","-40"
"215",11,"Adonai Mitchell",IND,"WR76","11","4 out of 5 stars","+80"
"216",11,"Justice Hill",BAL,"RB63","7","4 out of 5 stars","+17"
"217",11,"New York Jets",NYJ,"DST14","9","5 out of 5 stars","-14"
"218",11,"San Francisco 49ers",SF,"DST15","14","5 out of 5 stars","-57"
"219",11,"Darius Slayton",NYG,"WR77","14","2 out of 5 stars","+42"
"220",11,"Pat Bryant",DEN,"WR78","12","3 out of 5 stars","+44"
"221",11,"Elic Ayomanor",TEN,"WR79","10","4 out of 5 stars","+63"
"222",11,"DJ Giddens",IND,"RB64","11","2 out of 5 stars","+25"
"223",11,"Jake Elliott",PHI,"K11","9","2 out of 5 stars","-56"
"224",11,"Daniel Jones",IND,"QB29","11","3 out of 5 stars","+32"
"225",11,"Kareem Hunt",KC,"RB65","10","2 out of 5 stars","-18"
"226",11,"Andrei Iosivas",CIN,"WR80","10","3 out of 5 stars","+65"
"227",11,"Chris Rodriguez Jr.",WAS,"RB66","12","2 out of 5 stars","+73"
"228",11,"Kyle Monangai",CHI,"RB67","5","3 out of 5 stars","+24"
"229",11,"Jaylin Noel",HOU,"WR81","6","4 out of 5 stars","+24"
"230",11,"Kendre Miller",NO,"RB68","11","4 out of 5 stars","-4"
"231",11,"Jalen McMillan",TB,"WR82","9","3 out of 5 stars","+50"
"232",11,"Dalton Schultz",HOU,"TE27","6","3 out of 5 stars","+25"
"233",11,"MarShawn Lloyd",GB,"RB69","5","4 out of 5 stars","-3"
"234",11,"Calvin Austin III",PIT,"WR83","5","4 out of 5 stars","+53"
"235",11,"Russell Wilson",NYG,"QB30","14","1 out of 5 stars","+11"
"236",11,"Tyler Lockett",TEN,"WR84","10","4 out of 5 stars","+42"
"237",12,"Keaton Mitchell",BAL,"RB70","7","4 out of 5 stars","+11"
"238",12,"Dontayvion Wicks",GB,"WR85","5","2 out of 5 stars","+48"
"239",12,"Matt Gay",WAS,"K12","12","3 out of 5 stars","-33"
"240",12,"Ja'Tavion Sanders",CAR,"TE28","14","4 out of 5 stars","+49"
"241",12,"Elijah Arroyo",SEA,"TE29","8","4 out of 5 stars","+1"
"242",12,"Younghoe Koo",ATL,"K13","5","4 out of 5 stars","-48"
"243",12,"Dameon Pierce",HOU,"RB71","6","2 out of 5 stars","+39"
"244",12,"Dyami Brown",JAC,"WR86","8","4 out of 5 stars","+62"
"245",12,"Brashard Smith",KC,"RB72","10","2 out of 5 stars","+18"
"246",12,"Juwan Johnson",NO,"TE30","11","3 out of 5 stars","+47"
"247",12,"Tahj Brooks",CIN,"RB73","10","4 out of 5 stars","+25"
"248",12,"Dallas Cowboys",DAL,"DST16","10","0 out of 5 stars","-50"
"249",12,"Dont'e Thornton Jr.",LV,"WR87","8","4 out of 5 stars","-14"
"250",12,"Miles Sanders",DAL,"RB74","10","2 out of 5 stars","-1"
"251",12,"Jalen Royals",KC,"WR88","10","3 out of 5 stars","+50"
"252",12,"Tory Horton",SEA,"WR89","8","3 out of 5 stars","-9"
"253",12,"Jason Sanders",MIA,"K14","12","2 out of 5 stars","-69"
"254",12,"Devaughn Vele",NO,"WR90","11","4 out of 5 stars","+112"
"255",12,"Roman Wilson",PIT,"WR91","5","4 out of 5 stars","+24"
"256",12,"Jaleel McLaughlin",DEN,"RB75","12","2 out of 5 stars","+38"
"257",12,"Jarquez Hunter",LAR,"RB76","8","3 out of 5 stars","+16"
"258",12,"Cole Kmet",CHI,"TE31","5","4 out of 5 stars","-7"
"259",12,"Tampa Bay Buccaneers",TB,"DST17","9","3 out of 5 stars","-34"
"260",12,"Anthony Richardson Sr.",IND,"QB31","11","3 out of 5 stars","-15"
"261",12,"Isaac TeSlaa",DET,"WR92","8","3 out of 5 stars","-41"
"262",12,"Joe Flacco",CLE,"QB32","9","2 out of 5 stars","+3"
"263",12,"Devin Neal",NO,"RB77","11","4 out of 5 stars","+79"
"264",12,"Malik Washington",MIA,"WR93","12","3 out of 5 stars","+153"
"265",12,"Raheem Mostert",LV,"RB78","8","2 out of 5 stars","-48"
"266",12,"Harold Fannin Jr.",CLE,"TE32","9","3 out of 5 stars","-11"
"267",12,"Sean Tucker",TB,"RB79","9","3 out of 5 stars","+85"
"268",12,"Brandin Cooks",NO,"WR94","11","4 out of 5 stars","+103"
"269",12,"Jalen Tolbert",DAL,"WR95","10","2 out of 5 stars","+76"
"270",12,"Theo Johnson",NYG,"TE33","14","2 out of 5 stars","+27"
"271",12,"Elijah Moore",BUF,"WR96","7","3 out of 5 stars","+46"
"272",12,"Kayshon Boutte",NE,"WR97","14","3 out of 5 stars","+74"
"273",12,"Joshua Karty",LAR,"K15","8","2 out of 5 stars","+58"
"274",12,"Kenneth Gainwell",PIT,"RB80","5","4 out of 5 stars","+134"
"275",12,"Trevor Etienne",CAR,"RB81","14","3 out of 5 stars","+38"
"276",12,"Noah Gray",KC,"TE34","10","3 out of 5 stars","-18"
"277",12,"Nick Westbrook-Ikhine",MIA,"WR98","12","3 out of 5 stars","+85"
"278",12,"Ty Johnson",BUF,"RB82","7","4 out of 5 stars","+94"
"279",12,"Elijah Mitchell",KC,"RB83","10","2 out of 5 stars","-25"
"280",12,"Antonio Gibson",NE,"RB84","14","4 out of 5 stars","+80"
"281",12,"Tre Tucker",LV,"WR99","8","4 out of 5 stars","+70"
"282",12,"Chicago Bears",CHI,"DST18","5","2 out of 5 stars","-68"
"283",12,"Jaxson Dart",NYG,"QB33","14","1 out of 5 stars","-44"
"284",12,"Devin Singletary",NYG,"RB85","14","3 out of 5 stars","-1"
"285",12,"Tyler Shough",NO,"QB34","11","5 out of 5 stars","+30"
"286",12,"Darren Waller",MIA,"TE35","12","3 out of 5 stars","-93"
"287",12,"Diontae Johnson",FA,"WR100","-","-","+18"
"288",12,"Amari Cooper",LV,"WR101","8","4 out of 5 stars","-61"
"289",13,"Jalen Nailor",MIN,"WR102","6","2 out of 5 stars","+75"
"290",13,"Spencer Rattler",NO,"QB35","11","5 out of 5 stars","+140"
"291",13,"Isaiah Davis",NYJ,"RB86","9","5 out of 5 stars","+328"
"292",13,"Cleveland Browns",CLE,"DST19","9","3 out of 5 stars","-22"
"293",13,"Will Reichard",MIN,"K16","6","0 out of 5 stars","-74"
"294",13,"Parker Washington",JAC,"WR103","8","4 out of 5 stars","+121"
"295",13,"Tyler Loop",BAL,"K17","7","2 out of 5 stars","-112"
"296",13,"Daniel Carlson",LV,"K18","8","3 out of 5 stars","-80"
"297",13,"Tim Patrick",JAC,"WR104","8","4 out of 5 stars","+52"
"298",13,"Luke McCaffrey",WAS,"WR105","12","3 out of 5 stars","0"
"299",13,"New England Patriots",NE,"DST20","14","4 out of 5 stars","-84"
"300",13,"Jordan James",SF,"RB87","14","3 out of 5 stars","+10"
"301",13,"Terrance Ferguson",LAR,"TE36","8","4 out of 5 stars","-24"
"302",13,"Emanuel Wilson",GB,"RB88","5","4 out of 5 stars","+111"
"303",13,"Taysom Hill",NO,"TE37","11","3 out of 5 stars","-15"
"304",13,"Arizona Cardinals",ARI,"DST21","8","4 out of 5 stars","-107"
