"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"342",14,"Jaylin Lane",WAS,"WR119","12","3 out of 5 stars","+156"
"343",14,"Isaiah Bond",CLE,"WR120","9","2 out of 5 stars","+45"
"344",14,"John Metchie III",PHI,"WR121","9","3 out of 5 stars","+3"
"345",14,"Demarcus Robinson",SF,"WR122","14","4 out of 5 stars","+65"
"346",14,"Michael Mayer",LV,"TE44","8","2 out of 5 stars","-9"
"347",14,"Miami Dolphins",MIA,"DST23","12","2 out of 5 stars","-85"
"348",14,"Zack Moss",FA,"RB101","-","-","-80"
"349",14,"Tai Felton",MIN,"WR123","6","2 out of 5 stars","+136"
"350",14,"AJ Barner",SEA,"TE45","8","4 out of 5 stars","+51"
"351",14,"Olamide Zaccheaus",CHI,"WR124","5","2 out of 5 stars","-17"
"352",14,"Dawson Knox",BUF,"TE46","7","3 out of 5 stars","-48"
"353",14,"Kirk Cousins",ATL,"QB38","5","4 out of 5 stars","-57"
"354",14,"Jake Moody",SF,"K22","14","5 out of 5 stars","-131"
"355",14,"Marquez Valdes-Scantling",SF,"WR125","14","4 out of 5 stars","-44"
"356",14,"Washington Commanders",WAS,"DST24","12","4 out of 5 stars","-157"
"357",14,"Allen Lazard",NYJ,"WR126","9","4 out of 5 stars","+17"
"358",14,"Luke Musgrave",GB,"TE47","5","2 out of 5 stars","-39"
"359",14,"Justin Tucker",FA,"K23","-","-","-92"
"360",14,"Jameis Winston",NYG,"QB39","14","1 out of 5 stars","-44"
"361",14,"Savion Williams",GB,"WR127","5","2 out of 5 stars","+67"
"362",14,"Zay Jones",ARI,"WR128","8","4 out of 5 stars","+165"
"363",14,"Emari Demercado",ARI,"RB102","8","3 out of 5 stars","+239"
"364",14,"Mack Hollins",NE,"WR129","14","3 out of 5 stars","+21"
"365",14,"Curtis Samuel",BUF,"WR130","7","3 out of 5 stars","+57"
"366",14,"LeQuint Allen Jr.",JAC,"RB103","8","2 out of 5 stars","+255"
"367",14,"Dillon Gabriel",CLE,"QB40","9","2 out of 5 stars","+218"
"368",14,"Jimmy Garoppolo",LAR,"QB41","8","3 out of 5 stars","-20"
"369",14,"Chimere Dike",TEN,"WR131","10","4 out of 5 stars","+270"
"370",14,"Gunnar Helm",TEN,"TE48","10","3 out of 5 stars","+41"
"371",14,"Kalel Mullings",TEN,"RB104","10","2 out of 5 stars","+189"
"372",14,"Gus Edwards",FA,"RB105","-","-","+215"
"373",14,"Austin Hooper",NE,"TE49","14","3 out of 5 stars","-29"
"374",14,"Van Jefferson",TEN,"WR132","10","4 out of 5 stars","+134"
"375",14,"Greg Dortch",ARI,"WR133","8","4 out of 5 stars","+197"
"376",14,"Jahan Dotson",PHI,"WR134","9","3 out of 5 stars","-48"
"377",14,"Indianapolis Colts",IND,"DST25","11","4 out of 5 stars","-118"
"378",14,"Tank Dell",HOU,"WR135","6","4 out of 5 stars","-60"
"379",14,"Cam Akers",FA,"RB106","-","-","+33"
"380",14,"Jamari Thrash",CLE,"WR136","9","2 out of 5 stars","+206"
"381",14,"Cairo Santos",CHI,"K24","5","1 out of 5 stars","-96"
"382",14,"Kyle Juszczyk",SF,"RB107","14","3 out of 5 stars","+45"
"383",14,"Trey Sermon",PIT,"RB108","5","4 out of 5 stars","+209"
"384",14,"Donovan Edwards",WAS,"RB109","12","2 out of 5 stars","+245"
"385",14,"Atlanta Falcons",ATL,"DST26","5","3 out of 5 stars","-110"
"386",14,"Craig Reynolds",DET,"RB110","8","2 out of 5 stars","-21"
"387",14,"Foster Moreau",NO,"TE50","11","3 out of 5 stars","+245"
"388",14,"Matt Prater",FA,"K25","-","-","+130"
"389",14,"Efton Chism III",NE,"WR137","14","3 out of 5 stars","-60"
"390",14,"Cade Stover",HOU,"TE51","6","3 out of 5 stars","+114"
"391",14,"Hunter Renfrow",FA,"WR138","-","-","-61"
"392",15,"Chad Ryland",ARI,"K26","8","3 out of 5 stars","-60"
"393",15,"Blake Grupe",NO,"K27","11","5 out of 5 stars","-81"
"394",15,"Antwane Wells Jr.",FA,"WR139","-","-","-"
"395",15,"Tommy Tremble",CAR,"TE52","14","4 out of 5 stars","+80"
"396",15,"Jacob Cowing",SF,"WR140","14","4 out of 5 stars","+273"
"397",15,"Joe Milton III",DAL,"QB42","10","2 out of 5 stars","-61"
"398",15,"Luke Schoonmaker",DAL,"TE53","10","2 out of 5 stars","-12"
"399",15,"Kenny Pickett",LV,"QB43","8","3 out of 5 stars","+21"
"400",15,"Tyrod Taylor",NYJ,"QB44","9","5 out of 5 stars","+273"
"401",15,"JuJu Smith-Schuster",KC,"WR141","10","3 out of 5 stars","-93"
"402",15,"Jonathon Brooks",CAR,"RB111","14","3 out of 5 stars","+440"
"403",15,"Theo Wease Jr.",MIA,"WR142","12","3 out of 5 stars","-"
"404",15,"Josh Oliver",MIN,"TE54","6","3 out of 5 stars","-47"
"405",15,"Cincinnati Bengals",CIN,"DST27","10","2 out of 5 stars","-169"
"406",15,"Graham Gano",NYG,"K28","14","0 out of 5 stars","-116"
"407",15,"Eddy Pineiro",FA,"K29","-","-","+81"
"408",15,"Dare Ogunbowale",HOU,"RB112","6","2 out of 5 stars","+273"
"409",15,"Arian Smith",NYJ,"WR143","9","4 out of 5 stars","+174"
"410",15,"New Orleans Saints",NO,"DST28","11","4 out of 5 stars","-144"
"411",15,"Nick Folk",NYJ,"K30","9","2 out of 5 stars","-88"
"412",15,"Jeremy McNichols",WAS,"RB113","12","2 out of 5 stars","+34"
"413",15,"George Holani",SEA,"RB114","8","3 out of 5 stars","+193"
"414",15,"Xavier Hutchinson",HOU,"WR144","6","4 out of 5 stars","+241"
"415",15,"Julius Chestnut",TEN,"RB115","10","2 out of 5 stars","+138"
"416",15,"Jordan Watkins",SF,"WR145","14","4 out of 5 stars","+208"
"417",15,"Jalin Hyatt",NYG,"WR146","14","2 out of 5 stars","-44"
"418",15,"Clyde Edwards-Helaire",FA,"RB116","-","-","+187"
"419",15,"Robert Woods",PIT,"WR147","5","4 out of 5 stars","+14"
"420",15,"Devontez Walker",BAL,"WR148","7","3 out of 5 stars","+125"
"421",15,"Grant Calcaterra",PHI,"TE55","9","3 out of 5 stars","-63"
"422",15,"Mason Rudolph",PIT,"QB45","5","4 out of 5 stars","-69"
"423",15,"Tyler Goodson",IND,"RB117","11","2 out of 5 stars","+218"
"424",15,"Ja'Quinden Jackson",JAC,"RB118","8","2 out of 5 stars","+330"
"425",15,"Alec Ingold",MIA,"RB119","12","4 out of 5 stars","+263"
"426",15,"Pierre Strong Jr.",FA,"RB120","-","-","+276"
"427",15,"Jimmy Horn Jr.",CAR,"WR149","14","4 out of 5 stars","-73"
"428",15,"Jeremy Ruckert",NYJ,"TE56","9","3 out of 5 stars","+181"
"429",15,"Malik Willis",GB,"QB46","5","2 out of 5 stars","-52"
"430",15,"Kendrick Bourne",FA,"WR150","-","-","+174"
"431",15,"Skyy Moore",SF,"WR151","14","4 out of 5 stars","-39"
"432",15,"Carson Steele",KC,"RB121","10","2 out of 5 stars","-32"
"433",15,"Hassan Haskins",LAC,"RB122","12","2 out of 5 stars","+211"
"434",15,"Mitchell Evans",CAR,"TE57","14","4 out of 5 stars","-11"
"435",15,"Jonathan Mingo",DAL,"WR152","10","2 out of 5 stars","+182"
"436",15,"Tyquan Thornton",KC,"WR153","10","3 out of 5 stars","+32"
"437",15,"Sterling Shepard",TB,"WR154","9","3 out of 5 stars","+8"
"438",15,"D'Ernest Johnson",FA,"RB123","-","-","-"
"439",15,"Deshaun Watson",CLE,"QB47","9","2 out of 5 stars","-59"
"440",15,"Kalif Raymond",DET,"WR155","8","3 out of 5 stars","-45"
"441",15,"Tyler Johnson",FA,"WR156","-","-","+221"
"442",15,"Aidan O'Connell",LV,"QB48","8","3 out of 5 stars","+214"
"443",15,"Mitchell Tinsley",CIN,"WR157","10","3 out of 5 stars","-44"
"444",15,"Las Vegas Raiders",LV,"DST29","8","4 out of 5 stars","-184"
"445",15,"Darnell Washington",PIT,"TE58","5","3 out of 5 stars","-107"
"446",15,"Elijah Higgins",ARI,"TE59","8","5 out of 5 stars","-87"
"447",15,"Javon Baker",NE,"WR158","14","3 out of 5 stars","+263"
"448",15,"Tyler Badie",DEN,"RB124","12","2 out of 5 stars","+153"
"449",15,"Casey Washington",ATL,"WR159","5","3 out of 5 stars","+391"
"450",15,"Malachi Corley",CLE,"WR160","9","2 out of 5 stars","+400"
"451",15,"Sione Vaki",DET,"RB125","8","2 out of 5 stars","+191"
"452",15,"Marcus Mariota",WAS,"QB49","12","2 out of 5 stars","-43"
"453",15,"Stone Smartt",NYJ,"TE60","9","3 out of 5 stars","+353"
"454",15,"Matthew Wright",FA,"K31","-","-","-86"
"455",15,"Cordarrelle Patterson",FA,"RB126","-","-","+176"
"456",15,"Dylan Laube",LV,"RB127","8","2 out of 5 stars","+201"
"457",15,"Greg Dulcich",MIA,"TE61","12","3 out of 5 stars","+332"
"458",15,"Julian Hill",MIA,"TE62","12","3 out of 5 stars","-53"
"459",15,"Luke Farrell",SF,"TE63","14","3 out of 5 stars","+99"
"460",15,"DeeJay Dallas",FA,"RB128","-","-","+234"
"461",15,"Michael Carter",ARI,"RB129","8","3 out of 5 stars","+128"
"462",15,"Chris Tyree",NO,"RB130","11","4 out of 5 stars","-"
"463",15,"Jacoby Brissett",ARI,"QB50","8","4 out of 5 stars","+213"
"464",15,"Hunter Luepke",DAL,"RB131","10","2 out of 5 stars","+151"
"465",16,"Gardner Minshew II",KC,"QB51","10","3 out of 5 stars","-81"
"466",16,"Mac Jones",SF,"QB52","14","4 out of 5 stars","-69"
"467",16,"Michael Gallup",FA,"WR161","-","-","+216"
"468",16,"Zach Wilson",MIA,"QB53","12","5 out of 5 stars","-21"
"469",16,"KhaDarel Hodge",ATL,"WR162","5","3 out of 5 stars","+268"
"470",16,"Tanner Hudson",CIN,"TE64","10","2 out of 5 stars","+170"
"471",16,"Sam Howell",PHI,"QB54","9","3 out of 5 stars","-14"
"472",16,"K.J. Osborn",FA,"WR163","-","-","+288"
"473",16,"Jake Bobo",SEA,"WR164","8","3 out of 5 stars","-118"
"474",16,"Carlos Washington Jr.",ATL,"RB132","5","4 out of 5 stars","-"
"475",16,"Lucky Jackson",MIN,"WR165","6","2 out of 5 stars","+30"
"476",16,"Charlie Kolar",BAL,"TE65","7","3 out of 5 stars","+134"
"477",16,"Rasheen Ali",BAL,"RB133","7","4 out of 5 stars","+93"
"478",16,"Jacksonville Jaguars",JAC,"DST30","8","4 out of 5 stars","-202"
"479",16,"Cooper Rush",BAL,"QB55","7","3 out of 5 stars","-72"
"480",16,"Tennessee Titans",TEN,"DST31","10","5 out of 5 stars","-206"
"481",16,"Carolina Panthers",CAR,"DST32","14","3 out of 5 stars","-167"
"482",16,"Tyson Bagent",CHI,"QB56","5","2 out of 5 stars","-22"
"483",16,"Daniel Bellinger",NYG,"TE66","14","2 out of 5 stars","-9"
"484",16,"Jake Browning",CIN,"QB57","10","2 out of 5 stars","-65"
"485",16,"Thomas Fidone II",NYG,"TE67","14","2 out of 5 stars","+81"
"486",16,"Beaux Collins",NYG,"WR166","14","2 out of 5 stars","+341"
"487",16,"Drew Lock",SEA,"QB58","8","4 out of 5 stars","-31"
"488",16,"Jeff Wilson Jr.",FA,"RB134","-","-","+199"
"489",16,"Josh Whyle",FA,"TE68","-","-","+110"
"490",16,"John Bates",WAS,"TE69","12","3 out of 5 stars","-13"
"491",16,"Luke Lachey",FA,"TE70","-","-","+482"
"492",16,"Ezekiel Elliott",FA,"RB135","-","-","-30"
"493",16,"Derius Davis",LAC,"WR167","12","3 out of 5 stars","+38"
"494",16,"David Moore",CAR,"WR168","14","4 out of 5 stars","-104"
"495",16,"Hunter Long",JAC,"TE71","8","3 out of 5 stars","+282"
"496",16,"Colby Parkinson",LAR,"TE72","8","4 out of 5 stars","+78"
"497",16,"Marcus Yarns",FA,"RB136","-","-","+317"
"498",16,"Brock Wright",DET,"TE73","8","3 out of 5 stars","-128"
"499",16,"Harrison Bryant",HOU,"TE74","6","3 out of 5 stars","+194"
"500",16,"Andrew Beck",NYJ,"TE75","9","3 out of 5 stars","+174"
"501",16,"C.J. Ham",MIN,"RB137","6","3 out of 5 stars","-57"
"502",16,"Eric Gray",NYG,"RB138","14","3 out of 5 stars","+313"
"503",16,"Charlie Woerner",ATL,"TE76","5","3 out of 5 stars","+261"
"504",16,"Nick Nash",ATL,"WR169","5","3 out of 5 stars","+156"
"505",16,"Patrick Ricard",BAL,"RB139","7","4 out of 5 stars","-12"
"506",16,"Josh Williams",TB,"RB140","9","3 out of 5 stars","-"
"507",16,"Kene Nwangwu",NYJ,"RB141","9","5 out of 5 stars","+272"
"508",16,"Chris Blair",ATL,"WR170","5","3 out of 5 stars","-"
"509",16,"Jelani Woods",NYJ,"TE77","9","3 out of 5 stars","+281"
"510",16,"Tanner McKee",PHI,"QB59","9","3 out of 5 stars","-132"
"511",16,"Lucas Krull",DEN,"TE78","12","3 out of 5 stars","+193"
